,rh,Tair,Tw
102,51.5,42.900000000000254,33.65
103,52.0,42.80000000000025,33.68
104,52.5,42.70000000000025,33.71
105,53.0,42.60000000000025,33.74
106,53.5,42.40000000000025,33.68
107,54.0,42.300000000000246,33.71
108,54.5,42.200000000000244,33.74
109,55.0,42.10000000000024,33.76
110,55.5,42.00000000000024,33.79
111,56.0,41.90000000000024,33.81
112,56.5,41.70000000000024,33.74
113,57.0,41.600000000000236,33.76
114,57.5,41.500000000000234,33.78
115,58.0,41.40000000000023,33.8
116,58.5,41.30000000000023,33.82
117,59.0,41.20000000000023,33.84
118,59.5,41.10000000000023,33.85
119,60.0,41.00000000000023,33.87
120,60.5,40.800000000000225,33.79
121,61.0,40.70000000000022,33.81
122,61.5,40.60000000000022,33.82
123,62.0,40.50000000000022,33.83
124,62.5,40.40000000000022,33.84
125,63.0,40.30000000000022,33.85
126,63.5,40.200000000000216,33.86
127,64.0,40.100000000000215,33.87
128,64.5,40.00000000000021,33.88
129,65.0,39.90000000000021,33.89
130,65.5,39.80000000000021,33.9
131,66.0,39.70000000000021,33.9
132,66.5,39.60000000000021,33.91
133,67.0,39.500000000000206,33.91
134,67.5,39.400000000000205,33.92
135,68.0,39.3000000000002,33.92
136,68.5,39.2000000000002,33.92
137,69.0,39.1000000000002,33.92
138,69.5,39.0000000000002,33.92
139,70.0,38.9000000000002,33.92
140,70.5,38.9000000000002,34.02
141,71.0,38.800000000000196,34.02
142,71.5,38.700000000000195,34.02
143,72.0,38.60000000000019,34.01
144,72.5,38.50000000000019,34.01
145,73.0,38.40000000000019,34.01
146,73.5,38.30000000000019,34.0
147,74.0,38.20000000000019,34.0
148,74.5,38.100000000000186,33.99
149,75.0,38.000000000000185,33.99
150,75.5,38.000000000000185,34.08
151,76.0,37.90000000000018,34.07
152,76.5,37.80000000000018,34.06
153,77.0,37.70000000000018,34.05
154,77.5,37.60000000000018,34.04
155,78.0,37.50000000000018,34.03
156,78.5,37.400000000000176,34.02
157,79.0,37.400000000000176,34.11
158,79.5,37.300000000000175,34.1
159,80.0,37.20000000000017,34.09
160,80.5,37.10000000000017,34.07
161,81.0,37.00000000000017,34.06
162,81.5,37.00000000000017,34.14
163,82.0,36.90000000000017,34.13
164,82.5,36.80000000000017,34.11
165,83.0,36.700000000000166,34.1
166,83.5,36.600000000000165,34.08
167,84.0,36.600000000000165,34.17
168,84.5,36.50000000000016,34.15
169,85.0,36.40000000000016,34.13
170,85.5,36.30000000000016,34.11
171,86.0,36.20000000000016,34.1
172,86.5,36.20000000000016,34.18
173,87.0,36.10000000000016,34.16
174,87.5,36.000000000000156,34.14
175,88.0,35.900000000000155,34.12
176,88.5,35.900000000000155,34.19
177,89.0,35.80000000000015,34.17
178,89.5,35.70000000000015,34.15
179,90.0,35.60000000000015,34.13
180,90.5,35.60000000000015,34.21
181,91.0,35.50000000000015,34.18
182,91.5,35.40000000000015,34.16
183,92.0,35.40000000000015,34.24
184,92.5,35.300000000000146,34.21
185,93.0,35.200000000000145,34.19
186,93.5,35.10000000000014,34.16
187,94.0,35.10000000000014,34.24
188,94.5,35.00000000000014,34.21
189,95.0,34.90000000000014,34.18
190,95.5,34.90000000000014,34.26
191,96.0,34.80000000000014,34.23
192,96.5,34.70000000000014,34.2
193,97.0,34.70000000000014,34.27
194,97.5,34.600000000000136,34.25
195,98.0,34.500000000000135,34.22
196,98.5,34.500000000000135,34.29
197,99.0,34.400000000000134,34.26
198,99.5,34.30000000000013,34.23
199,100.0,34.30000000000013,34.3
